id_student,group_id,cluster,sex,address,internet,studytime,absences,G1,G3
367,1,1,F,U,yes,2,0,12,13
410,1,0,M,U,yes,2,9,13,15
601,1,2,M,R,no,1,4,12,14
461,1,1,F,R,yes,2,1,11,11
277,2,0,M,U,yes,1,7,15,16
558,2,0,F,R,yes,2,2,7,10
605,2,2,F,U,no,2,2,9,10
56,2,1,F,U,yes,2,2,12,12
363,3,1,F,U,yes,2,0,12,13
396,3,0,M,U,yes,2,0,12,13
170,3,2,M,R,no,1,14,9,10
372,3,1,F,U,yes,1,2,10,10
588,4,1,F,R,yes,2,3,7,8
76,4,0,M,U,yes,2,0,11,11
454,4,2,F,U,no,3,0,10,8
362,4,0,M,U,yes,2,9,11,10
374,5,1,F,R,yes,3,0,11,10
82,5,0,M,U,yes,3,2,10,9
138,5,2,F,U,no,1,12,13,11
23,5,0,M,U,yes,2,0,12,14
241,6,1,F,U,yes,2,2,17,17
10,6,0,M,U,yes,2,0,12,13
450,6,2,F,R,no,1,3,11,13
415,6,1,F,R,yes,3,8,11,15
575,7,0,M,R,yes,1,12,8,10
62,7,0,F,U,yes,1,0,10,16
500,7,2,F,U,no,1,0,17,16
547,7,1,F,U,yes,2,0,13,16
276,8,1,F,U,yes,3,10,12,11
551,8,0,M,U,yes,2,0,12,13
172,8,2,M,R,no,1,4,12,11
51,8,1,F,U,yes,2,0,14,13
389,9,1,F,U,yes,2,8,10,12
163,9,0,M,U,yes,1,0,12,11
480,9,2,F,U,no,1,4,9,10
166,9,1,F,R,yes,3,2,13,13
198,10,1,F,U,yes,2,32,14,14
443,10,0,M,R,yes,2,0,12,14
467,10,2,M,U,no,1,0,10,11
188,10,1,F,U,yes,2,0,14,13
245,11,1,F,U,yes,2,0,14,12
20,11,0,M,U,yes,1,6,12,12
295,11,2,F,R,no,2,4,11,13
602,11,1,F,U,yes,2,4,8,10
643,12,1,F,U,yes,2,0,6,11
419,12,0,M,R,yes,1,13,13,14
98,12,2,F,U,no,2,0,13,12
11,12,1,F,U,yes,2,2,14,14
406,13,1,F,U,yes,1,16,10,11
248,13,0,M,U,yes,2,0,13,14
564,13,2,M,U,no,1,0,7,0
131,13,1,F,R,yes,3,0,10,12
110,14,1,F,U,yes,3,2,15,14
232,14,0,M,U,yes,2,10,10,10
545,14,2,M,R,no,1,2,12,12
52,14,1,F,U,yes,2,0,16,16
140,15,1,F,U,yes,3,4,13,15
175,15,0,M,R,yes,1,8,8,9
582,15,2,F,U,no,2,2,6,8
157,15,1,F,U,yes,2,0,12,12
148,16,1,F,U,yes,1,6,13,14
600,16,0,M,R,yes,1,5,12,14
614,16,2,F,U,no,2,0,10,10
289,16,1,F,U,yes,2,2,12,13
519,17,1,F,U,yes,2,8,8,8
173,17,0,M,U,yes,2,0,10,1
58,17,2,M,U,no,2,8,15,16
550,17,1,F,R,yes,2,0,17,18
405,18,1,F,U,yes,2,4,12,16
48,18,0,M,U,yes,4,2,17,17
640,18,2,M,R,no,1,0,5,0
199,18,1,F,U,yes,2,8,14,16
403,19,1,F,U,yes,3,0,11,13
124,19,0,M,U,yes,1,4,12,13
1,19,2,F,U,no,2,4,0,11
632,19,1,F,R,yes,3,4,10,12
17,20,1,F,U,yes,3,10,13,14
511,20,2,F,R,no,2,0,15,17
544,20,0,M,R,yes,1,2,9,8
291,20,1,F,U,yes,2,0,10,11
422,21,1,F,U,yes,1,5,8,10
211,21,0,M,U,yes,1,4,13,14
441,21,2,M,U,no,2,0,7,0
644,21,1,F,R,yes,1,4,7,10
2,22,1,F,U,yes,2,2,9,11
294,22,2,F,U,no,3,4,11,14
279,22,0,M,U,yes,1,2,9,13
578,22,0,M,R,yes,2,8,10,11
96,23,1,F,R,yes,4,4,13,13
9,23,0,M,U,yes,2,0,15,17
586,23,2,F,R,no,3,5,8,8
371,23,1,F,U,yes,2,2,8,9
517,24,1,F,R,yes,2,0,14,16
93,24,2,F,U,no,2,0,12,12
249,24,0,M,U,yes,2,2,9,9
113,24,1,F,U,yes,2,12,8,10
597,25,1,F,U,yes,2,0,17,18
72,25,0,M,U,yes,4,0,11,10
354,25,2,F,U,no,2,2,10,11
218,25,1,F,R,yes,1,21,13,13
364,26,1,F,U,yes,1,4,11,14
223,26,2,F,U,no,1,2,12,13
195,26,0,M,U,yes,2,4,11,11
437,26,1,F,R,yes,1,4,6,8
495,27,1,F,R,yes,2,0,8,9
164,27,0,M,U,yes,1,0,11,0
90,27,2,M,U,no,2,6,9,10
313,27,1,F,U,yes,4,10,16,16
421,28,1,F,U,yes,2,10,14,17
430,28,2,M,R,no,2,5,10,11
105,28,0,M,U,yes,2,0,16,16
349,28,1,F,U,yes,3,0,16,16
253,29,1,F,U,yes,2,0,14,13
258,29,0,M,U,yes,1,6,10,9
40,29,2,F,R,no,1,8,14,12
504,29,1,F,U,yes,4,0,14,14
213,30,1,F,U,yes,1,30,14,16
503,30,2,M,R,no,4,2,10,9
250,30,0,M,U,yes,3,0,12,12
183,30,1,F,U,yes,2,0,12,13
512,31,1,F,U,yes,2,1,11,10
478,31,0,M,U,yes,1,11,12,11
493,31,2,F,R,no,2,2,8,10
305,31,1,F,U,yes,3,0,11,13
399,32,1,F,U,yes,3,0,11,14
642,32,2,F,R,no,3,0,14,15
209,32,0,M,U,yes,1,0,13,12
151,32,1,F,U,no,2,24,9,9
323,33,1,F,R,yes,2,0,9,10
251,33,0,M,U,yes,2,0,16,16
583,33,2,F,U,no,1,0,6,7
41,33,1,F,U,yes,2,16,11,10
361,34,1,F,U,yes,2,8,11,14
298,34,2,M,R,no,1,0,9,10
336,34,0,M,U,yes,2,0,17,17
88,34,1,F,U,yes,3,4,15,15
14,35,0,M,U,yes,2,0,12,13
122,35,0,M,U,yes,4,6,14,13
145,35,2,F,R,no,1,8,12,11
39,35,1,F,R,yes,3,2,11,12
135,36,1,F,U,yes,1,2,13,12
446,36,2,M,R,no,2,8,7,9
32,36,0,M,U,yes,2,2,15,15
189,36,1,F,U,yes,2,0,14,15
496,37,1,F,U,yes,1,0,14,13
162,37,0,M,U,yes,1,16,9,8
169,37,2,M,R,no,2,0,7,8
390,37,1,F,U,yes,2,0,10,12
393,38,1,F,U,yes,2,0,12,15
528,38,2,M,U,no,3,0,10,10
280,38,0,M,U,yes,1,12,7,5
527,38,1,F,R,yes,1,1,13,14
618,39,1,F,U,yes,3,0,19,18
118,39,0,M,U,yes,1,6,14,15
623,39,2,M,R,no,2,0,8,9
521,39,1,F,U,yes,2,6,6,8
346,40,1,F,U,yes,2,0,14,15
536,40,2,M,R,no,2,11,9,10
380,40,0,M,R,yes,1,2,11,10
543,40,1,F,U,yes,3,1,10,12
319,41,1,F,R,yes,2,15,12,10
351,41,0,M,R,yes,3,0,9,11
498,41,2,M,U,no,4,0,10,10
344,41,1,F,U,yes,4,0,16,17
146,42,1,F,U,yes,1,4,9,10
473,42,2,F,R,no,1,0,14,16
296,42,0,M,U,yes,2,4,11,14
529,42,1,F,R,yes,1,5,9,9
235,43,1,F,R,yes,2,0,11,11
59,43,0,M,U,yes,2,0,14,14
168,43,2,F,U,no,1,0,13,13
80,43,1,F,U,yes,2,14,12,11
311,44,1,F,R,yes,2,12,8,10
470,44,2,M,U,no,2,0,13,13
187,44,0,M,U,yes,2,0,11,10
301,44,1,F,U,yes,2,2,15,15
523,45,1,F,U,yes,2,4,8,8
228,45,0,M,U,yes,2,10,12,11
479,45,2,F,R,no,2,0,7,8
63,45,1,F,U,yes,2,0,13,10
256,46,1,F,U,yes,1,14,8,7
476,46,2,F,U,no,3,0,12,14
202,46,0,M,U,yes,2,0,13,16
73,46,1,F,R,yes,2,2,13,11
316,47,1,F,U,yes,2,8,14,15
24,47,0,M,U,yes,2,2,10,10
622,47,2,F,R,no,2,0,13,13
194,47,0,M,U,yes,2,4,11,13
518,48,1,F,R,yes,1,0,14,15
426,48,2,F,R,no,1,6,10,10
271,48,0,M,U,yes,1,4,14,15
222,48,1,F,U,yes,2,4,14,15
210,49,1,F,U,yes,2,8,14,16
617,49,0,M,U,yes,1,2,14,14
177,49,2,M,U,no,1,2,8,10
615,49,1,F,R,yes,2,2,12,12
133,50,1,F,U,yes,1,8,11,11
452,50,2,M,R,no,2,0,10,11
176,50,0,M,R,yes,2,4,7,8
239,50,1,F,U,yes,3,4,15,16
424,51,1,F,U,yes,1,11,10,11
324,51,0,M,U,yes,1,0,10,10
464,51,2,F,R,no,3,2,14,12
332,51,0,M,U,yes,2,0,12,12
78,52,1,F,U,yes,4,1,13,13
286,52,2,M,R,no,1,2,14,12
570,52,0,M,U,yes,2,9,4,8
355,52,1,F,U,yes,2,2,12,15
206,53,1,F,U,yes,2,0,12,12
6,53,0,M,U,yes,2,6,12,13
137,53,2,M,U,no,1,4,9,11
427,53,1,F,R,yes,1,4,10,11
203,54,1,F,U,yes,2,10,12,14
147,54,2,M,U,no,2,0,10,10
35,54,0,M,U,yes,1,4,12,12
387,54,1,F,R,yes,3,0,15,15
329,55,1,F,U,yes,2,0,12,13
369,55,0,M,U,yes,1,2,8,11
647,55,2,F,U,no,2,6,11,9
307,55,0,M,R,yes,2,6,15,16
57,56,1,F,U,yes,2,0,15,15
619,56,2,F,R,no,2,0,16,15
226,56,0,M,U,yes,2,15,13,12
365,56,1,F,U,yes,1,2,14,17
343,57,1,F,U,yes,2,0,13,14
238,57,0,M,U,yes,2,9,10,10
18,57,2,F,U,no,2,2,13,14
458,57,0,M,R,yes,1,4,10,11
360,58,1,F,R,yes,3,2,15,17
303,58,2,M,R,no,3,2,10,12
531,58,0,M,U,yes,1,8,7,9
127,58,1,F,U,yes,2,0,10,11
321,59,1,F,U,yes,2,2,14,13
150,59,0,M,U,yes,4,6,9,11
315,59,2,M,R,no,2,2,16,18
418,59,1,F,U,yes,3,5,14,17
149,60,1,F,R,yes,1,2,8,9
554,60,2,M,U,no,1,4,11,12
178,60,0,M,U,yes,1,2,9,8
540,60,1,F,U,yes,2,8,9,10
633,61,1,F,R,yes,2,4,7,9
579,61,0,M,U,yes,2,4,8,10
573,61,2,F,U,no,2,8,5,7
345,61,0,M,U,yes,1,0,18,17
587,62,1,F,U,yes,2,0,8,0
171,62,2,F,R,no,1,6,11,11
565,62,0,M,R,yes,1,2,11,10
46,62,1,F,U,yes,2,4,10,11
625,63,1,F,R,yes,1,0,8,9
466,63,1,F,U,yes,2,9,9,8
455,63,2,F,U,no,3,3,9,8
102,63,0,M,U,yes,3,0,16,16
423,64,1,F,U,yes,2,4,10,13
448,64,2,M,R,no,1,8,8,9
292,64,0,M,U,yes,2,4,11,11
627,64,1,F,R,yes,2,0,7,0
487,65,1,F,U,yes,1,1,9,10
104,65,1,F,U,yes,2,16,11,10
611,65,2,F,R,no,2,0,8,0
548,65,0,M,R,yes,1,0,10,11
101,66,0,M,U,yes,1,12,9,8
339,66,2,F,R,no,4,0,18,19
174,66,0,M,U,yes,1,0,9,10
159,66,1,F,U,yes,2,2,11,11
154,67,1,F,U,yes,3,2,13,13
25,67,1,F,R,yes,3,2,10,10
616,67,2,F,U,no,2,0,15,15
417,67,0,M,U,yes,2,10,16,18
337,68,0,M,U,yes,2,2,15,16
4,68,1,F,U,yes,3,0,14,14
385,68,2,M,R,no,1,0,11,10
260,68,1,F,U,yes,3,10,11,10
85,69,1,F,U,yes,2,2,13,12
610,69,2,F,U,no,2,0,11,12
490,69,0,M,R,yes,1,0,8,10
420,69,0,M,U,yes,1,10,7,11
581,70,0,M,R,yes,1,4,8,10
132,70,0,F,U,yes,2,10,10,8
352,70,2,M,U,no,1,0,14,15
215,70,1,F,U,yes,2,2,14,15
237,71,1,F,U,yes,2,0,13,14
283,71,0,M,U,yes,1,8,7,7
482,71,2,F,R,no,1,2,9,11
126,71,0,M,U,yes,1,2,9,9
143,72,0,M,U,yes,1,2,11,12
359,72,1,F,U,yes,1,8,12,15
117,72,2,M,U,no,2,4,16,16
459,72,1,F,R,yes,4,0,13,13
442,73,0,M,U,yes,2,4,8,9
87,73,2,F,U,no,2,6,13,11
631,73,1,F,R,yes,3,0,15,17
95,73,0,M,U,yes,4,2,11,12
284,74,0,M,U,yes,2,4,9,10
626,74,1,F,U,yes,1,0,10,10
353,74,2,M,R,no,2,0,10,11
513,74,1,F,R,yes,2,9,7,7
377,75,1,F,U,yes,3,0,14,14
327,75,0,M,U,yes,1,18,13,13
217,75,2,F,U,no,2,0,14,15
566,75,0,M,R,yes,1,0,10,9
116,76,0,M,U,yes,2,6,16,14
645,76,1,F,R,yes,3,4,10,10
314,76,2,F,U,no,2,2,13,13
439,76,1,F,R,yes,1,2,10,12
576,77,1,F,R,yes,1,8,10,10
435,77,2,F,U,no,4,4,10,11
297,77,0,M,U,yes,2,2,16,16
603,77,1,F,U,yes,3,0,11,13
19,78,0,M,U,yes,1,2,8,7
112,78,1,F,R,yes,3,4,11,11
485,78,2,F,U,no,1,6,7,8
596,78,0,M,U,yes,1,3,17,17
100,79,1,F,U,yes,3,2,12,13
526,79,0,M,U,yes,3,0,15,16
236,79,2,F,U,no,3,12,12,12
561,79,0,M,R,yes,1,0,10,10
379,80,0,M,U,yes,1,0,17,17
317,80,1,F,U,yes,2,6,15,16
489,80,2,F,U,no,3,6,7,9
567,80,0,M,R,yes,1,2,9,9
338,81,1,F,U,yes,3,0,17,18
629,81,2,F,U,no,3,8,10,12
613,81,0,M,R,yes,2,4,10,11
29,81,0,M,U,yes,2,2,12,13
108,82,0,M,U,yes,3,4,13,14
515,82,1,F,U,yes,1,2,7,7
139,82,2,M,R,no,2,2,12,11
75,82,1,F,U,yes,2,4,11,11
152,83,0,M,U,yes,3,0,15,13
312,83,1,F,U,yes,2,16,11,12
542,83,2,F,R,no,2,0,11,11
520,83,0,M,R,yes,2,0,8,0
115,84,0,M,R,yes,2,4,10,10
471,84,1,F,R,yes,2,4,13,12
457,84,2,F,U,no,2,0,13,15
89,84,0,M,U,yes,2,6,12,11
584,85,1,F,R,yes,1,0,8,0
598,85,2,F,R,no,2,0,9,0
282,85,0,M,U,yes,1,0,11,11
220,85,1,F,U,yes,3,14,8,8
273,86,0,M,R,yes,3,2,13,15
358,86,1,F,U,yes,3,2,14,17
537,86,2,M,U,no,4,8,13,14
413,86,1,F,U,yes,2,0,14,17
382,87,1,F,U,yes,3,4,15,15
27,87,0,M,U,yes,1,8,11,12
262,87,2,F,R,no,2,2,13,13
269,87,0,M,R,yes,2,0,12,12
181,88,0,M,U,yes,2,0,9,11
636,88,1,F,R,yes,2,10,8,9
53,88,2,M,U,no,1,4,10,9
272,88,1,F,U,yes,2,2,11,12
12,89,1,F,U,yes,3,0,10,13
463,89,2,F,R,no,2,0,13,14
156,89,0,M,U,yes,1,22,9,6
335,89,0,M,U,yes,3,0,14,15
447,90,0,M,U,yes,2,0,11,11
534,90,1,F,U,yes,2,0,14,16
469,90,2,M,U,no,1,1,13,13
263,90,1,F,R,yes,1,14,9,8
266,91,1,F,R,yes,3,4,15,15
300,91,1,F,R,yes,2,8,10,12
606,91,2,F,U,no,1,0,5,0
71,91,0,M,U,yes,4,2,13,11
13,92,0,M,U,yes,1,0,12,12
475,92,0,M,R,yes,1,2,10,11
574,92,2,F,U,no,1,9,7,10
66,92,1,F,U,yes,2,2,16,16
318,93,1,F,U,yes,2,6,12,12
472,93,2,F,R,no,2,2,12,12
378,93,0,M,U,yes,3,0,13,13
30,93,0,M,U,yes,2,4,12,12
624,94,0,M,U,yes,3,0,15,16
70,94,1,F,R,yes,4,6,15,15
229,94,2,F,R,no,1,6,12,11
227,94,1,F,U,yes,2,0,13,13
342,95,1,F,U,yes,2,2,14,13
416,95,1,F,U,yes,1,5,9,11
445,95,2,M,R,no,2,4,9,11
103,95,0,M,U,yes,1,2,12,12
44,96,0,M,U,yes,1,0,9,10
414,96,0,M,R,yes,2,21,9,10
386,96,2,F,U,no,2,2,10,10
121,96,1,F,U,yes,2,0,14,14
634,97,1,F,R,yes,2,1,13,14
180,97,2,M,U,no,1,10,8,8
22,97,0,M,U,yes,1,0,11,12
497,97,1,F,R,yes,1,2,14,14
639,98,0,M,U,yes,2,4,14,16
357,98,1,F,R,yes,1,2,15,17
560,98,2,M,R,no,1,0,12,13
507,98,1,F,U,yes,2,8,11,10
481,99,1,F,U,yes,1,0,9,10
257,99,0,M,U,yes,1,26,7,8
589,99,2,F,U,no,1,0,8,9
568,99,0,M,R,yes,1,0,4,0
264,100,0,M,U,yes,2,16,8,8
244,100,1,F,U,yes,3,0,15,16
429,100,2,F,R,no,1,0,6,9
433,100,1,F,R,yes,1,0,6,7
107,101,1,F,U,yes,4,4,10,10
233,101,2,F,U,no,1,4,12,13
281,101,0,M,R,yes,2,8,10,10
77,101,0,M,U,yes,4,0,12,11
84,102,0,M,U,yes,2,2,13,13
45,102,1,F,U,yes,2,14,10,11
510,102,2,F,R,no,2,0,16,18
594,102,1,F,U,yes,2,0,12,14
505,103,1,F,U,yes,3,0,12,13
212,103,0,M,R,yes,1,16,10,12
438,103,2,F,R,no,1,0,12,12
67,103,0,M,U,yes,4,0,11,12
412,104,0,M,U,yes,3,2,12,15
630,104,1,F,R,yes,1,4,7,9
36,104,2,F,U,no,1,4,11,11
99,104,1,F,U,yes,1,4,12,13
91,105,1,F,U,yes,3,2,9,11
591,105,2,F,U,no,2,3,7,7
402,105,0,M,U,yes,3,0,14,14
129,105,0,M,R,yes,1,8,14,15
193,106,0,M,R,yes,1,8,10,11
225,106,1,F,U,yes,4,4,12,12
74,106,2,M,U,no,1,0,13,14
221,106,1,F,U,yes,2,2,11,12
453,107,1,F,R,yes,2,4,9,11
532,107,0,M,U,yes,2,0,10,10
275,107,2,F,U,no,2,10,10,10
79,107,0,M,U,yes,1,0,9,10
648,108,0,M,U,yes,1,6,10,10
155,108,1,F,U,yes,1,4,10,11
641,108,2,M,R,no,1,0,7,0
83,108,1,F,U,yes,2,4,12,11
205,109,1,F,U,yes,2,6,12,13
599,109,2,M,U,no,1,8,10,11
522,109,1,F,R,yes,2,0,8,10
186,109,0,M,U,yes,2,0,16,18
34,110,0,M,U,yes,2,0,13,12
392,110,1,F,U,yes,3,8,11,14
328,110,2,F,R,no,4,2,17,18
261,110,1,F,U,yes,1,4,12,11
400,111,1,F,U,yes,3,4,14,17
556,111,1,F,R,yes,3,5,13,13
569,111,2,M,U,no,1,4,6,9
535,111,0,M,U,yes,1,0,11,12
201,112,0,M,U,yes,1,0,10,11
486,112,1,F,R,yes,2,0,11,11
304,112,2,F,U,no,3,2,15,13
404,112,1,F,U,yes,2,10,12,15
436,113,1,F,R,yes,2,0,10,10
259,113,2,F,U,no,2,4,14,15
7,113,0,M,U,yes,2,0,13,13
114,113,0,M,U,yes,1,10,18,18
208,114,0,M,R,yes,1,0,11,10
231,114,1,F,U,yes,2,16,11,10
179,114,2,M,R,no,2,0,8,8
191,114,1,F,U,yes,2,0,13,14
86,115,1,F,U,yes,2,4,12,12
200,115,0,M,U,yes,2,6,11,14
428,115,2,F,R,no,2,0,16,17
185,115,0,M,U,yes,1,4,9,10
326,116,0,M,U,yes,1,22,11,10
368,116,1,F,U,yes,2,2,11,14
141,116,2,M,R,no,2,2,10,10
585,116,1,F,R,yes,1,0,10,11
499,117,1,F,U,yes,2,0,14,14
204,117,2,M,R,no,2,6,9,10
123,117,1,F,U,yes,2,2,14,13
388,117,0,M,U,yes,1,6,15,15
243,118,0,M,U,yes,2,2,9,11
348,118,1,F,R,yes,3,0,7,8
165,118,2,M,U,no,1,6,9,10
92,118,1,F,U,yes,1,6,14,13
68,119,1,F,U,yes,4,0,10,10
130,119,0,M,U,yes,3,4,13,13
557,119,2,M,R,no,1,4,9,11
26,119,1,F,U,yes,1,6,10,12
42,120,0,M,U,yes,1,8,10,11
407,120,1,F,U,yes,1,6,10,13
539,120,2,F,R,no,3,2,11,11
376,120,1,F,U,yes,3,0,14,15
395,121,1,F,R,yes,2,0,14,16
488,121,2,F,R,no,3,6,7,10
288,121,0,M,U,yes,1,0,9,10
268,121,0,M,U,yes,2,8,15,15
637,122,0,M,U,yes,2,4,17,19
274,122,1,F,U,yes,3,10,11,11
559,122,2,M,R,no,1,0,8,10
462,122,1,F,R,yes,1,0,13,14
449,123,1,F,R,yes,3,6,16,17
111,123,0,M,U,yes,1,4,13,14
8,123,2,F,U,no,2,2,10,13
572,123,0,M,U,yes,1,4,8,9
553,124,0,M,U,yes,2,2,9,10
509,124,0,M,R,yes,1,0,10,9
216,124,2,F,U,no,2,4,11,12
331,124,1,F,U,yes,2,10,12,14
375,125,1,F,U,yes,3,0,17,17
516,125,2,F,U,no,2,8,9,10
31,125,0,M,U,yes,2,0,10,11
97,125,0,M,R,yes,1,6,9,11
546,126,0,M,U,yes,2,8,8,8
451,126,1,F,R,yes,2,2,15,15
267,126,2,F,U,no,2,4,15,14
356,126,1,F,U,yes,2,2,11,14
491,127,1,F,R,yes,1,4,9,10
552,127,0,M,U,yes,2,0,13,13
197,127,2,F,U,no,2,0,17,17
270,127,0,M,U,yes,1,7,14,15
247,128,0,M,U,yes,2,0,13,13
322,128,1,F,U,yes,3,8,13,15
465,128,2,M,R,no,1,6,11,11
182,128,1,F,U,yes,2,0,17,18
468,129,1,F,R,yes,2,1,14,14
161,129,2,F,U,no,2,6,11,11
571,129,0,M,R,yes,1,6,7,8
37,129,0,M,U,yes,3,0,14,14
246,130,0,M,R,yes,2,0,12,13
492,130,1,F,U,yes,2,12,7,9
609,130,2,F,U,no,2,2,8,11
593,130,1,F,U,yes,1,0,11,13
334,131,1,F,U,yes,3,0,13,14
310,131,0,M,U,yes,2,4,10,14
508,131,2,F,U,no,3,0,11,10
444,131,0,M,R,yes,2,7,7,8
43,132,0,M,U,yes,2,0,14,15
608,132,1,F,R,yes,2,5,11,12
530,132,2,F,U,no,1,1,11,11
265,132,1,F,U,yes,1,8,11,10
144,133,1,F,U,yes,3,10,12,11
494,133,2,F,U,no,1,5,9,10
425,133,1,F,R,yes,2,0,12,12
431,133,0,M,U,yes,3,0,10,11
207,134,0,M,U,yes,2,16,10,12
590,134,1,F,U,yes,1,0,7,10
525,134,2,F,R,no,2,2,7,8
456,134,1,F,U,yes,2,0,9,9
184,135,1,F,U,yes,2,0,16,17
325,135,0,M,U,yes,1,10,10,11
61,135,2,F,R,no,2,0,17,16
153,135,0,M,U,yes,1,4,12,11
120,136,0,M,U,yes,1,2,14,14
620,136,1,F,U,yes,2,6,13,13
432,136,2,F,R,no,2,0,10,10
134,136,1,F,U,yes,1,6,11,13
607,137,1,F,U,yes,4,0,18,18
541,137,2,F,U,no,1,5,9,11
15,137,0,M,U,yes,3,0,14,15
109,137,0,M,R,yes,4,8,12,11
628,138,0,M,R,yes,1,3,9,10
299,138,1,F,U,yes,4,2,10,12
106,138,2,F,U,no,4,10,10,10
595,138,1,F,U,yes,2,0,18,18
16,139,1,F,U,yes,1,6,17,17
649,139,0,M,R,yes,1,4,10,11
562,139,2,M,U,no,2,6,10,10
408,139,1,F,U,yes,3,0,9,12
524,140,0,M,U,yes,4,2,5,6
219,140,1,F,R,yes,4,6,13,13
373,140,2,F,U,no,2,4,14,13
383,140,1,F,U,yes,1,2,11,11
381,141,1,F,U,yes,3,0,13,13
370,141,2,F,U,no,3,12,10,11
302,141,0,M,U,yes,2,2,10,11
340,141,0,M,R,yes,3,0,14,15
196,142,0,M,U,yes,2,0,11,13
309,142,1,F,R,yes,2,8,10,12
483,142,2,F,R,no,1,0,9,9
47,142,1,F,U,yes,2,6,13,13
3,143,1,F,U,yes,2,6,12,12
384,143,0,M,U,yes,4,0,11,12
391,143,2,F,R,no,4,6,14,14
533,143,0,M,U,yes,2,2,9,8
638,144,0,M,R,yes,1,0,7,0
136,144,1,F,U,yes,1,12,15,14
128,144,2,F,U,no,2,0,9,11
484,144,1,F,R,yes,2,1,9,11
592,145,1,F,U,yes,2,2,12,14
142,145,2,F,R,no,2,0,14,13
501,145,0,M,U,yes,1,12,6,7
28,145,0,M,U,yes,1,0,11,11
192,146,0,M,U,yes,2,4,11,10
252,146,1,F,U,yes,1,4,9,10
278,146,2,F,U,no,2,4,11,11
287,146,0,M,R,yes,1,0,12,13
621,147,1,F,U,yes,2,4,15,15
409,147,0,M,U,yes,2,11,9,12
440,147,1,F,R,yes,1,0,14,16
341,147,0,M,U,yes,1,0,14,15
580,148,0,M,U,yes,1,0,9,9
549,148,1,F,U,yes,2,2,11,11
119,148,0,M,R,yes,2,14,12,11
64,148,1,F,U,yes,3,0,14,13
612,149,1,F,R,yes,3,5,14,15
49,149,2,M,U,no,2,4,11,13
167,149,0,M,U,yes,1,6,11,11
158,149,1,F,U,yes,1,0,11,10
21,150,0,M,U,yes,2,0,12,14
69,150,1,F,R,yes,2,0,11,11
54,150,1,F,U,yes,1,0,13,12
366,150,1,F,U,yes,2,14,15,17
255,151,1,F,U,yes,2,16,9,10
33,151,0,M,R,yes,2,0,13,15
65,151,1,F,U,yes,2,0,13,12
81,151,0,M,U,yes,1,0,11,12
347,152,0,M,U,yes,1,0,12,13
477,152,1,F,R,yes,1,2,10,8
514,152,1,F,U,yes,1,0,8,8
330,152,1,F,U,yes,2,12,12,14
646,153,1,F,U,yes,2,4,15,16
5,153,2,F,U,no,2,0,11,13
577,153,0,M,R,yes,1,8,9,11
242,153,0,M,U,yes,2,0,10,11
190,154,0,M,U,yes,2,0,10,11
254,154,1,F,U,yes,2,18,10,10
224,154,1,F,R,yes,3,0,11,12
234,154,1,F,U,yes,3,0,12,13
94,155,1,F,U,yes,2,2,13,14
285,155,0,M,U,yes,1,4,7,6
240,155,1,F,R,yes,2,4,8,8
38,155,0,M,R,yes,3,4,13,13
474,156,0,M,U,yes,1,4,10,10
350,156,1,F,U,yes,4,0,18,18
604,156,1,F,R,yes,2,0,5,0
394,156,1,F,U,yes,4,4,14,15
333,157,1,F,U,yes,3,0,18,18
563,157,2,F,R,no,2,0,11,12
308,157,0,M,U,yes,2,0,11,14
398,157,1,F,U,yes,2,18,10,14
320,158,0,M,U,yes,1,6,11,12
60,158,1,F,U,yes,2,2,16,16
506,158,1,F,R,yes,1,0,11,11
230,158,1,F,U,yes,2,2,14,15
290,159,1,F,U,yes,4,2,14,17
306,159,0,M,U,yes,1,8,8,9
50,159,1,F,U,yes,2,2,13,12
293,159,1,F,R,yes,3,2,11,14
401,160,0,M,R,yes,3,4,15,17
55,160,1,F,U,yes,1,0,13,13
160,160,1,F,U,yes,2,6,13,13
411,160,1,F,U,yes,2,0,13,17
125,161,1,F,U,yes,2,0,12,11
460,161,2,F,R,no,3,2,10,10
502,161,0,M,U,yes,1,8,14,13
397,162,0,M,U,yes,2,6,16,17
555,162,1,F,R,yes,1,3,10,10
635,162,1,F,U,yes,2,1,16,16
214,163,1,F,U,yes,2,0,11,11
538,163,0,M,U,yes,1,11,12,12
434,163,1,F,R,yes,1,0,13,14
